id,날짜,작물분류,품목명,평균가,평균기온,강수량,월,전년도가격,7일평균가,30일평균가,전일가격,가격변화율,7일내_폭염발생,환절기여부,봄_환절기여부,7일누적강수량
1101,2022-10-27,딸기,딸기 설향,50000.0,13.2,0.0,10,29196.0,35107.142857142855,26797.0,50000.0,0.0,0,1,0,0.0
1102,2022-10-28,딸기,딸기 설향,67000.0,13.6,0.0,10,24825.0,42500.0,28325.633333333335,50000.0,0.3400000000000001,0,1,0,0.0
1103,2022-10-29,딸기,딸기 설향,67111.0,14.8,0.0,10,27635.0,49908.71428571428,29877.233333333334,67000.0,0.001656716417910431,0,1,0,0.0
1104,2022-10-31,딸기,딸기 설향,65375.0,14.9,0.0,10,27342.0,57069.42857142857,31322.633333333335,67111.0,-0.025867592496014113,0,1,0,0.0
1105,2022-11-01,딸기,딸기 설향,64950.0,13.1,0.0,11,27077.0,59205.142857142855,32748.833333333332,65375.0,-0.006500956022944537,0,0,0,0.0
1106,2022-11-02,딸기,딸기 설향,86111.0,11.1,0.0,11,25988.0,64363.857142857145,34787.36666666667,64950.0,0.32580446497305626,0,0,0,0.0
1107,2022-11-03,딸기,딸기 설향,112727.0,9.3,0.0,11,28193.0,73324.85714285714,37677.26666666667,86111.0,0.3090894310831369,0,0,0,0.0
1108,2022-11-04,딸기,딸기 설향,94167.0,4.9,0.0,11,29453.0,79634.42857142857,39999.86666666667,112727.0,-0.16464555962635397,0,0,0,0.0
1109,2022-11-05,딸기,딸기 설향,75438.0,6.5,0.0,11,32173.0,80839.85714285714,41747.13333333333,94167.0,-0.1988913313581191,0,0,0,0.0
1110,2022-11-07,딸기,딸기 설향,58126.0,11.4,0.0,11,34513.0,79556.28571428571,42884.0,75438.0,-0.2294864657069382,0,0,0,0.0
1111,2022-11-08,딸기,딸기 설향,58672.0,12.9,0.0,11,35312.0,78598.71428571429,44012.2,58126.0,0.009393386780442547,0,0,0,0.0
1112,2022-11-09,딸기,딸기 설향,64972.0,11.4,0.0,11,35466.0,78601.85714285714,45275.166666666664,58672.0,0.10737660212707945,0,0,0,0.0
1113,2022-11-10,딸기,딸기 설향,68750.0,13.5,0.0,11,32207.0,76121.71428571429,46439.933333333334,64972.0,0.05814812534630298,0,0,0,0.0
1114,2022-11-11,딸기,딸기 설향,70287.0,15.6,0.0,11,28772.0,70058.85714285714,47819.5,68750.0,0.02235636363636373,0,0,0,0.0
