id,날짜,작물분류,품목명,평균가,평균기온,강수량,월,전년도가격,7일평균가,30일평균가,전일가격,가격변화율,7일내_폭염발생,환절기여부,봄_환절기여부,7일누적강수량
2897,2023-03-29,딸기,딸기 죽향,47389.0,11.8,0.0,3,72900.0,50647.57142857143,63768.4,50298.0,-0.05783530160244943,0,0,1,0.0
2898,2023-03-30,딸기,딸기 죽향,51248.0,13.3,0.0,3,70000.0,50762.42857142857,62250.6,47389.0,0.08143239992403295,0,0,1,0.0
2899,2023-03-31,딸기,딸기 죽향,54181.0,15.0,0.0,3,70000.0,51315.42857142857,61280.433333333334,51248.0,0.05723150171714009,0,0,1,0.0
2900,2023-04-01,딸기,딸기 죽향,56053.0,17.5,0.0,4,65000.0,51746.857142857145,60493.03333333333,54181.0,0.03455085731160379,0,0,1,0.0
2901,2023-04-03,딸기,딸기 죽향,48522.0,19.0,0.0,4,80750.0,50922.71428571428,59683.76666666667,56053.0,-0.13435498546018942,0,0,1,0.0
2902,2023-04-04,딸기,딸기 죽향,47528.0,17.6,6.9,4,72000.0,50745.57142857143,58864.566666666666,48522.0,-0.02048555294505583,0,0,1,6.9
2903,2023-04-05,딸기,딸기 죽향,44217.0,11.9,50.3,4,70500.0,49876.857142857145,57872.13333333333,47528.0,-0.0696641979464736,0,0,1,57.199999999999996
2904,2023-04-06,딸기,딸기 죽향,44205.0,8.8,2.7,4,64167.0,49422.0,56991.03333333333,44217.0,-0.0002713888323495617,0,0,1,59.9
2905,2023-04-07,딸기,딸기 죽향,46152.0,8.9,0.0,4,89455.0,48694.0,56098.833333333336,44205.0,0.04404479131319983,0,0,1,59.9
2906,2023-04-08,딸기,딸기 죽향,50816.0,8.8,0.0,4,71000.0,48213.28571428572,55603.6,46152.0,0.10105737562835837,0,0,1,59.9
2907,2023-04-10,딸기,딸기 죽향,47813.0,13.2,0.0,4,88067.0,47036.142857142855,55082.46666666667,50816.0,-0.059095560453400475,0,0,1,59.9
2908,2023-04-11,딸기,딸기 죽향,45409.0,13.1,2.9,4,82808.0,46591.42857142857,54530.7,47813.0,-0.05027921276640246,0,0,1,62.8
2909,2023-04-12,딸기,딸기 죽향,48014.0,10.1,0.0,4,73552.0,46660.857142857145,54048.73333333333,45409.0,0.05736748221718169,0,0,1,55.9
2910,2023-04-13,딸기,딸기 죽향,51752.0,11.9,0.0,4,48286.0,47737.28571428572,53721.5,48014.0,0.07785229308118469,0,0,1,5.6
2911,2023-04-14,딸기,딸기 죽향,53120.0,16.2,0.0,4,69594.0,49010.857142857145,53294.96666666667,51752.0,0.026433761014067025,0,0,1,2.9
2912,2023-04-15,딸기,딸기 죽향,53339.0,13.5,4.6,4,68000.0,50037.57142857143,53098.4,53120.0,0.0041227409638553425,0,0,1,7.5
2913,2023-04-17,딸기,딸기 죽향,45805.0,13.1,0.0,4,65075.0,49321.71428571428,52600.933333333334,53339.0,-0.14124749245392676,0,0,1,7.5
2914,2023-04-18,딸기,딸기 죽향,43523.0,14.0,1.5,4,60568.0,48708.857142857145,52040.4,45805.0,-0.049819888658443445,0,0,1,9.0
2915,2023-04-19,딸기,딸기 죽향,44057.0,19.1,0.0,4,68333.0,48515.71428571428,51221.666666666664,43523.0,0.012269374813317135,0,0,1,6.1
2916,2023-04-20,딸기,딸기 죽향,43706.0,15.8,0.5,4,54875.0,47900.28571428572,50392.933333333334,44057.0,-0.00796695190321628,0,0,1,6.6
2917,2023-04-21,딸기,딸기 죽향,41938.0,16.7,0.0,4,69236.0,46498.28571428572,49635.433333333334,43706.0,-0.04045211183819153,0,0,1,6.6
2918,2023-04-22,딸기,딸기 죽향,43073.0,16.9,0.0,4,66611.0,45063.0,49004.2,41938.0,0.027063760789737268,0,0,1,6.6
2919,2023-04-24,딸기,딸기 죽향,41593.0,15.8,0.0,4,65395.0,43385.0,48507.3,43073.0,-0.03436027209620873,0,0,1,2.0
2920,2023-04-25,딸기,딸기 죽향,46248.0,10.9,0.4,4,69960.0,43448.28571428572,48228.166666666664,41593.0,0.11191787079556659,0,0,1,2.4
2921,2023-04-26,딸기,딸기 죽향,50252.0,10.2,0.0,4,71125.0,44409.57142857143,48221.76666666667,46248.0,0.0865767168309981,0,0,1,0.9
