id,날짜,작물분류,품목명,평균가,평균기온,강수량,월,전년도가격,7일평균가,30일평균가,전일가격,가격변화율,7일내_폭염발생,환절기여부,봄_환절기여부,7일누적강수량
4091,2022-06-11,딸기,딸기(일반),31400.0,24.6,0.0,6,38368.0,30598.285714285714,29964.666666666668,35952.0,-0.12661326212728086,0,0,0,8.1
4092,2022-06-13,딸기,딸기(일반),23000.0,23.6,18.0,6,33747.0,29092.285714285714,29522.766666666666,31400.0,-0.26751592356687903,0,0,0,26.1
4093,2022-06-14,딸기,딸기(일반),15250.0,21.5,0.0,6,39811.0,26993.571428571428,28966.4,23000.0,-0.3369565217391305,0,0,0,21.8
4094,2022-06-15,딸기,딸기(일반),15250.0,17.5,18.5,6,37443.0,24875.428571428572,28402.766666666666,15250.0,0.0,0,0,0,40.3
4095,2022-06-16,딸기,딸기(일반),15250.0,20.3,0.7,6,34756.0,22728.85714285714,27823.7,15250.0,0.0,0,0,0,41.0
4096,2022-06-17,딸기,딸기(일반),15250.0,22.5,0.0,6,35006.0,21621.714285714286,27261.866666666665,15250.0,0.0,0,0,0,38.4
4097,2022-06-18,딸기,딸기(일반),15250.0,23.3,0.0,6,37013.0,18664.285714285714,26782.933333333334,15250.0,0.0,0,0,0,37.2
4098,2022-06-20,딸기,딸기(일반),15250.0,25.2,0.0,6,38757.0,16357.142857142857,26324.5,15250.0,0.0,0,0,0,37.2
4099,2022-06-21,딸기,딸기(일반),15250.0,26.5,0.0,6,48655.0,15250.0,25793.3,15250.0,0.0,0,0,0,19.2
4100,2022-10-21,딸기,딸기(일반),50000.0,14.0,0.0,10,46021.0,20214.285714285714,26397.2,15250.0,2.278688524590164,0,1,0,19.2
4101,2022-10-22,딸기,딸기(일반),100000.0,15.1,0.0,10,48484.0,32321.428571428572,28551.4,50000.0,1.0,0,1,0,0.7
4102,2022-10-24,딸기,딸기(일반),97600.0,10.6,0.0,10,47454.0,44085.71428571428,30737.466666666667,100000.0,-0.02400000000000002,0,1,0,0.0
4103,2022-10-25,딸기,딸기(일반),100000.0,11.3,0.0,10,40814.0,56192.857142857145,32969.933333333334,97600.0,0.024590163934426146,0,1,0,0.0
4104,2022-10-26,딸기,딸기(일반),83000.0,12.9,0.0,10,34290.0,65871.42857142857,34857.4,100000.0,-0.17000000000000004,0,1,0,0.0
4105,2022-10-27,딸기,딸기(일반),80000.0,13.2,0.0,10,37627.0,75121.42857142857,36684.2,83000.0,-0.03614457831325302,0,1,0,0.0
4106,2022-10-28,딸기,딸기(일반),100000.0,13.6,0.0,10,32134.0,87228.57142857143,39160.5,80000.0,0.25,0,1,0,0.0
4107,2022-10-29,딸기,딸기(일반),89333.0,14.8,0.0,10,35574.0,92847.57142857143,41267.6,100000.0,-0.10667000000000004,0,1,0,0.0
4108,2022-10-31,딸기,딸기(일반),100000.0,14.9,0.0,10,35723.0,92847.57142857143,43644.933333333334,89333.0,0.11940716196702228,0,1,0,0.0
4109,2022-11-01,딸기,딸기(일반),77656.0,13.1,0.0,11,37473.0,89998.42857142857,45277.9,100000.0,-0.22343999999999997,0,0,0,0.0
4110,2022-11-02,딸기,딸기(일반),93214.0,11.1,0.0,11,35783.0,89029.0,47438.03333333333,77656.0,0.2003451117750077,0,0,0,0.0
4111,2022-11-03,딸기,딸기(일반),110690.0,9.3,0.0,11,40353.0,92984.71428571429,50198.23333333333,93214.0,0.187482566996374,0,0,0,0.0
4112,2022-11-04,딸기,딸기(일반),126944.0,4.9,0.0,11,38251.0,99691.0,53481.7,110690.0,0.14684253320083118,0,0,0,0.0
4113,2022-11-05,딸기,딸기(일반),104489.0,6.5,0.0,11,37964.0,100332.28571428571,56137.13333333333,126944.0,-0.17688902193093015,0,0,0,0.0
4114,2022-11-07,딸기,딸기(일반),77019.0,11.4,0.0,11,40691.0,98573.14285714286,57796.1,104489.0,-0.2628984869220683,0,0,0,0.0
