id,날짜,작물분류,품목명,평균가,평균기온,강수량,월,전년도가격,7일평균가,30일평균가,전일가격,가격변화율,7일내_폭염발생,환절기여부,봄_환절기여부,7일누적강수량
6901,2022-03-19,토마토,방울토마토(일반),31095.0,3.4,14.6,3,23729.0,25554.14285714286,28544.966666666667,26472.0,0.17463735267452396,0,0,1,27.099999999999998
6902,2022-03-21,토마토,방울토마토(일반),30598.0,5.0,0.0,3,22430.0,26428.285714285714,28744.733333333334,31095.0,-0.015983277054188783,0,0,1,24.499999999999996
6903,2022-03-22,토마토,방울토마토(일반),25460.0,7.1,0.0,3,18452.0,26694.714285714286,28910.533333333333,30598.0,-0.16791947186090594,0,0,1,15.799999999999999
6904,2022-03-23,토마토,방울토마토(일반),31734.0,6.2,0.0,3,15868.0,28176.14285714286,29018.033333333333,25460.0,0.24642576590730547,0,0,1,15.799999999999999
6905,2022-03-24,토마토,방울토마토(일반),31745.0,8.2,0.0,3,15853.0,29240.14285714286,29491.7,31734.0,0.00034663137329049576,0,0,1,15.799999999999999
6906,2022-03-25,토마토,방울토마토(일반),37142.0,12.0,10.9,3,22647.0,30606.571428571428,29933.1,31745.0,0.17001102535832424,0,0,1,25.5
6907,2022-03-26,토마토,방울토마토(일반),35645.0,11.8,19.8,3,19762.0,31917.0,30359.066666666666,37142.0,-0.04030477626406759,0,0,1,45.3
6908,2022-03-28,토마토,방울토마토(일반),30927.0,8.2,0.0,3,24048.0,31893.0,30674.466666666667,35645.0,-0.1323607799130313,0,0,1,30.7
6909,2022-03-29,토마토,방울토마토(일반),29713.0,9.7,0.0,3,21884.0,31766.571428571428,30997.6,30927.0,-0.03925372651728265,0,0,1,30.700000000000003
6910,2022-03-30,토마토,방울토마토(일반),28357.0,10.8,0.4,3,24935.0,32180.428571428572,31006.033333333333,29713.0,-0.045636590044761505,0,0,1,31.1
6911,2022-03-31,토마토,방울토마토(일반),25288.0,10.9,0.0,3,26874.0,31259.571428571428,30968.3,28357.0,-0.10822724547730722,0,0,1,31.1
6912,2022-04-01,토마토,방울토마토(일반),28532.0,9.2,0.0,4,39000.0,30800.571428571428,31239.633333333335,25288.0,0.12828218918063894,0,0,1,31.1
6913,2022-04-02,토마토,방울토마토(일반),26490.0,8.2,0.0,4,22358.0,29278.85714285714,31083.133333333335,28532.0,-0.07156876489555586,0,0,1,20.2
6914,2022-04-04,토마토,방울토마토(일반),24870.0,10.3,0.0,4,24207.0,27739.571428571428,30988.8,26490.0,-0.0611551528878822,0,0,1,0.4
6915,2022-04-05,토마토,방울토마토(일반),23208.0,10.3,0.0,4,21601.0,26636.85714285714,30702.066666666666,24870.0,-0.06682750301568152,0,0,1,0.4
6916,2022-04-06,토마토,방울토마토(일반),24359.0,11.7,0.0,4,23288.0,25872.0,30210.666666666668,23208.0,0.04959496725267143,0,0,1,0.4
6917,2022-04-07,토마토,방울토마토(일반),23254.0,10.9,0.0,4,22346.0,25143.0,29576.166666666668,24359.0,-0.045363110144094554,0,0,1,0.0
6918,2022-04-08,토마토,방울토마토(일반),28858.0,12.9,0.0,4,30380.0,25653.0,28996.266666666666,23254.0,0.24099079728218809,0,0,1,0.0
6919,2022-04-09,토마토,방울토마토(일반),24410.0,17.8,0.5,4,21157.0,25064.14285714286,28176.6,28858.0,-0.15413403562270422,0,0,1,0.5
6920,2022-04-11,토마토,방울토마토(일반),24846.0,19.6,0.0,4,22820.0,24829.285714285714,27618.966666666667,24410.0,0.017861532158951254,0,0,1,0.5
6921,2022-04-12,토마토,방울토마토(일반),24729.0,19.3,0.5,4,24711.0,24809.14285714286,27361.333333333332,24846.0,-0.004709007486114469,0,0,1,1.0
6922,2022-04-13,토마토,방울토마토(일반),24995.0,13.1,1.3,4,24156.0,25064.428571428572,27174.9,24729.0,0.010756601560920398,0,0,1,2.3
6923,2022-04-14,토마토,방울토마토(일반),25640.0,13.2,0.0,4,24057.0,25247.428571428572,27165.666666666668,24995.0,0.025805161032206536,0,0,1,2.3
6924,2022-04-15,토마토,방울토마토(일반),25057.0,13.3,0.0,4,28588.0,25505.0,27157.866666666665,25640.0,-0.02273790951638066,0,0,1,2.3
6925,2022-04-16,토마토,방울토마토(일반),26472.0,13.2,0.0,4,23825.0,25164.14285714286,27224.3,25057.0,0.05647124556012284,0,0,1,2.3
6926,2022-04-18,토마토,방울토마토(일반),25437.0,15.2,0.0,4,25859.0,25310.85714285714,27285.7,26472.0,-0.039097914777878495,0,0,1,1.8
6927,2022-04-19,토마토,방울토마토(일반),26436.0,15.2,0.0,4,21158.0,25538.0,27454.766666666666,25437.0,0.03927349923340007,0,0,1,1.8
6928,2022-04-20,토마토,방울토마토(일반),24344.0,15.7,0.0,4,20789.0,25483.0,27456.333333333332,26436.0,-0.07913451354213952,0,0,1,1.3
6929,2022-04-21,토마토,방울토마토(일반),21669.0,16.3,0.0,4,18912.0,25007.85714285714,27259.4,24344.0,-0.10988333881038448,0,0,1,0.0
6930,2022-04-22,토마토,방울토마토(일반),27185.0,15.0,0.0,4,22233.0,25228.571428571428,27283.166666666668,21669.0,0.2545572015321427,0,0,1,0.0
6931,2022-04-23,토마토,방울토마토(일반),23005.0,17.7,0.0,4,17269.0,24935.428571428572,27013.5,27185.0,-0.15376126540371526,0,0,1,0.0
6932,2022-04-25,토마토,방울토마토(일반),22115.0,20.0,1.3,4,17000.0,24313.0,26730.733333333334,23005.0,-0.03868724190393391,0,0,1,1.3
6933,2022-04-26,토마토,방울토마토(일반),23691.0,21.9,1.0,4,18526.0,24063.571428571428,26671.766666666666,22115.0,0.07126384806692299,0,0,1,2.3
6934,2022-04-27,토마토,방울토마토(일반),21603.0,17.7,0.0,4,17141.0,23373.14285714286,26334.066666666666,23691.0,-0.08813473470938327,0,0,1,2.3
6935,2022-04-28,토마토,방울토마토(일반),20479.0,18.2,0.0,4,18904.0,22821.0,25958.533333333333,21603.0,-0.052029810674443344,0,0,1,2.3
6936,2022-04-29,토마토,방울토마토(일반),25135.0,13.4,15.5,4,17597.0,23316.14285714286,25558.3,20479.0,0.22735485131109923,0,0,1,17.8
6937,2022-04-30,토마토,방울토마토(일반),19000.0,13.0,0.0,4,18085.0,22146.85714285714,25003.466666666667,25135.0,-0.2440819574298787,0,0,1,17.8
6938,2022-05-02,토마토,방울토마토(일반),22005.0,14.2,0.0,5,19335.0,22004.0,24706.066666666666,19000.0,0.15815789473684205,0,0,0,17.8
6939,2022-05-03,토마토,방울토마토(일반),23042.0,14.8,0.0,5,19720.0,22136.428571428572,24483.7,22005.0,0.04712565326062257,0,0,0,16.5
6940,2022-05-04,토마토,방울토마토(일반),21339.0,17.8,0.0,5,21634.0,21800.428571428572,24249.766666666666,23042.0,-0.07390851488586059,0,0,0,15.5
6941,2022-05-05,토마토,방울토마토(일반),22293.0,18.9,0.0,5,22591.0,21899.0,24149.933333333334,21339.0,0.04470687473639812,0,0,0,15.5
6942,2022-05-06,토마토,방울토마토(일반),22435.0,19.6,0.0,5,25891.0,22178.428571428572,23946.7,22293.0,0.006369712465796429,0,0,0,15.5
6943,2022-05-07,토마토,방울토마토(일반),20281.0,18.4,0.5,5,23426.0,21485.0,23739.733333333334,22435.0,-0.09601069757075997,0,0,0,0.5
6944,2022-05-09,토마토,방울토마토(일반),24475.0,17.9,0.0,5,23796.0,22267.14285714286,23726.566666666666,20281.0,0.20679453675854242,0,0,0,0.5
6945,2022-05-10,토마토,방울토마토(일반),22972.0,19.9,0.0,5,31554.0,22405.285714285714,23718.7,24475.0,-0.06140960163432074,0,0,0,0.5
6946,2022-05-11,토마토,방울토마토(일반),19238.0,19.7,0.0,5,29415.0,21861.85714285714,23548.0,22972.0,-0.16254570781821343,0,0,0,0.5
6947,2022-05-12,토마토,방울토마토(일반),18601.0,20.9,0.0,5,30657.0,21470.714285714286,23392.9,19238.0,-0.033111550057178474,0,0,0,0.5
6948,2022-05-13,토마토,방울토마토(일반),18602.0,19.4,0.0,5,29079.0,20943.428571428572,23051.033333333333,18601.0,5.376055050798634e-05,0,0,0,0.5
6949,2022-05-14,토마토,방울토마토(일반),17756.0,15.7,0.0,5,37859.0,20275.0,22829.233333333334,18602.0,-0.045478980754757536,0,0,0,0.5
6950,2022-05-16,토마토,방울토마토(일반),19904.0,17.3,0.0,5,33816.0,20221.14285714286,22664.5,17756.0,0.12097319216039648,0,0,0,0.0
6951,2022-05-17,토마토,방울토마토(일반),22330.0,20.0,0.0,5,45326.0,19914.714285714286,22584.533333333333,19904.0,0.12188504823151125,0,0,0,0.0
6952,2022-05-18,토마토,방울토마토(일반),20749.0,20.0,1.5,5,36866.0,19597.14285714286,22443.0,22330.0,-0.07080161218092251,0,0,0,1.5
6953,2022-05-19,토마토,방울토마토(일반),22446.0,19.9,0.0,5,41480.0,20055.428571428572,22336.533333333333,20749.0,0.08178707407585906,0,0,0,1.5
6954,2022-05-20,토마토,방울토마토(일반),20828.0,20.6,0.0,5,36328.0,20373.571428571428,22195.566666666666,22446.0,-0.07208411298226858,0,0,0,1.5
6955,2022-05-21,토마토,방울토마토(일반),15011.0,20.1,0.0,5,47462.0,19860.571428571428,21813.533333333333,20828.0,-0.2792874975993854,0,0,0,1.5
6956,2022-05-23,토마토,방울토마토(일반),17867.0,23.0,0.0,5,35881.0,19876.428571428572,21561.2,15011.0,0.1902604756511892,0,0,0,1.5
6957,2022-05-24,토마토,방울토마토(일반),23790.0,22.9,0.0,5,41204.0,20431.571428571428,21473.0,17867.0,0.33150500923490234,0,0,0,1.5
6958,2022-05-25,토마토,방울토마토(일반),18863.0,21.0,3.5,5,35459.0,19936.285714285714,21290.3,23790.0,-0.20710382513661207,0,0,0,5.0
6959,2022-05-26,토마토,방울토마토(일반),32409.0,18.7,0.0,5,36529.0,21602.0,21648.3,18863.0,0.7181254307374225,0,0,0,3.5
6960,2022-05-27,토마토,방울토마토(일반),20837.0,20.0,0.0,5,31948.0,21372.14285714286,21436.7,32409.0,-0.35706131012990217,0,0,0,3.5
6961,2022-05-28,토마토,방울토마토(일반),23166.0,22.3,0.0,5,32765.0,21706.14285714286,21442.066666666666,20837.0,0.11177232807025961,0,0,0,3.5
6962,2022-05-30,토마토,방울토마토(일반),19952.0,20.8,0.0,5,26615.0,22412.0,21369.966666666667,23166.0,-0.13873780540447211,0,0,0,3.5
6963,2022-05-31,토마토,방울토마토(일반),20927.0,20.7,0.0,5,31795.0,22849.14285714286,21277.833333333332,19952.0,0.04886728147554131,0,0,0,3.5
6964,2022-06-01,토마토,방울토마토(일반),19878.0,22.1,0.0,6,23491.0,22290.285714285714,21220.333333333332,20927.0,-0.050126630668514305,0,0,0,3.5
6965,2022-06-02,토마토,방울토마토(일반),20809.0,21.5,0.0,6,25386.0,22568.285714285714,21231.333333333332,19878.0,0.04683569775631358,0,0,0,0.0
6966,2022-06-03,토마토,방울토마토(일반),17195.0,24.5,0.0,6,26552.0,20394.85714285714,20966.666666666668,20809.0,-0.17367485222740164,0,0,0,0.0
6967,2022-06-04,토마토,방울토마토(일반),17930.0,25.6,0.0,6,29452.0,19979.571428571428,20931.0,17195.0,0.04274498400697868,0,0,0,0.0
6968,2022-06-06,토마토,방울토마토(일반),19693.0,19.7,4.3,6,22254.0,19483.428571428572,20853.933333333334,17930.0,0.09832682654768554,0,0,0,4.3
6969,2022-06-07,토마토,방울토마토(일반),17761.0,20.6,0.0,6,27892.0,19170.428571428572,20677.9,19693.0,-0.0981059259635404,0,0,0,4.3
6970,2022-06-08,토마토,방울토마토(일반),14620.0,21.2,0.0,6,25138.0,18269.428571428572,20453.933333333334,17761.0,-0.17684815044197966,0,0,0,4.3
6971,2022-06-09,토마토,방울토마토(일반),15364.0,20.9,2.6,6,28402.0,17624.571428571428,20222.966666666667,14620.0,0.05088919288645699,0,0,0,6.9
6972,2022-06-10,토마토,방울토마토(일반),15232.0,20.9,1.2,6,23198.0,16827.85714285714,19982.866666666665,15364.0,-0.00859151262692004,0,0,0,8.1
6973,2022-06-11,토마토,방울토마토(일반),13165.0,24.6,0.0,6,36141.0,16252.142857142857,19745.666666666668,15232.0,-0.13570115546218486,0,0,0,8.1
6974,2022-06-13,토마토,방울토마토(일반),13650.0,23.6,18.0,6,30025.0,15640.714285714286,19384.833333333332,13165.0,0.03684010634257495,0,0,0,26.1
6975,2022-06-14,토마토,방울토마토(일반),11655.0,21.5,0.0,6,34435.0,14492.42857142857,19007.6,13650.0,-0.1461538461538462,0,0,0,21.8
6976,2022-06-15,토마토,방울토마토(일반),13199.0,17.5,18.5,6,37229.0,13840.714285714286,18806.3,11655.0,0.1324753324753325,0,0,0,40.3
6977,2022-06-16,토마토,방울토마토(일반),14557.0,20.3,0.7,6,34403.0,13831.714285714286,18671.5,13199.0,0.10288658231684211,0,0,0,41.0
6978,2022-06-17,토마토,방울토마토(일반),15442.0,22.5,0.0,6,31584.0,13842.857142857143,18566.166666666668,14557.0,0.060795493576973225,0,0,0,38.4
6979,2022-06-18,토마토,방울토마토(일반),14637.0,23.3,0.0,6,36426.0,13757.857142857143,18462.2,15442.0,-0.0521305530371714,0,0,0,37.2
6980,2022-06-20,토마토,방울토마토(일반),15755.0,25.2,0.0,6,33170.0,14127.857142857143,18323.9,14637.0,0.07638177222108355,0,0,0,37.2
6981,2022-06-21,토마토,방울토마토(일반),16620.0,26.5,0.0,6,33703.0,14552.142857142857,18133.566666666666,15755.0,0.054903205331640725,0,0,0,19.2
6982,2022-06-22,토마토,방울토마토(일반),15631.0,25.9,0.0,6,26975.0,15120.142857142857,17962.966666666667,16620.0,-0.05950661853188932,0,0,0,19.2
6983,2022-06-23,토마토,방울토마토(일반),18486.0,24.3,103.0,6,30610.0,15875.42857142857,17830.966666666667,15631.0,0.1826498624528181,0,0,0,103.7
6984,2022-06-24,토마토,방울토마토(일반),20314.0,22.6,19.1,6,25048.0,16697.85714285714,17813.833333333332,18486.0,0.09888564318944071,0,0,0,122.1
6985,2022-06-25,토마토,방울토마토(일반),18460.0,26.0,0.0,6,28370.0,17129.0,17928.8,20314.0,-0.09126710642906366,0,0,0,122.1
6986,2022-06-27,토마토,방울토마토(일반),16803.0,26.8,6.1,6,22375.0,17438.428571428572,17893.333333333332,18460.0,-0.08976164680390031,0,0,0,128.2
6987,2022-06-28,토마토,방울토마토(일반),15202.0,26.9,6.3,6,23529.0,17359.428571428572,17607.066666666666,16803.0,-0.09528060465393084,0,0,0,134.5
6988,2022-06-29,토마토,방울토마토(일반),14333.0,25.1,37.8,6,21860.0,17032.714285714286,17456.066666666666,15202.0,-0.05716353111432704,0,0,0,172.3
6989,2022-06-30,토마토,방울토마토(일반),15123.0,22.3,176.2,6,20091.0,16960.14285714286,16879.866666666665,14333.0,0.05511756087350861,0,0,0,348.5
6990,2022-07-01,토마토,방울토마토(일반),15716.0,26.6,0.0,7,18352.0,16564.428571428572,16709.166666666668,15123.0,0.03921179660120355,0,0,0,245.5
6991,2022-07-02,토마토,방울토마토(일반),16075.0,28.8,0.0,7,16775.0,15958.857142857143,16472.8,15716.0,0.022842962585899684,0,0,0,226.4
6992,2022-07-04,토마토,방울토마토(일반),18749.0,29.3,0.0,7,16427.0,16000.142857142857,16432.7,16075.0,0.1663452566096424,0,0,0,226.4
6993,2022-07-05,토마토,방울토마토(일반),34691.0,29.2,0.0,7,21846.0,18555.571428571428,16891.5,18749.0,0.8502853485519228,0,0,0,220.3
6994,2022-07-06,토마토,방울토마토(일반),39414.0,29.5,16.1,7,19203.0,22014.428571428572,17542.7,34691.0,0.136144821423424,0,0,0,230.1
6995,2022-07-07,토마토,방울토마토(일반),35538.0,28.2,0.0,7,19462.0,25043.714285714286,18033.666666666668,39414.0,-0.098340691124981,0,0,0,192.3
6996,2022-07-08,토마토,방울토마토(일반),28784.0,25.8,1.7,7,16523.0,26995.285714285714,18419.966666666667,35538.0,-0.19005008723057004,0,0,0,17.80000000000003
6997,2022-07-09,토마토,방울토마토(일반),17328.0,26.9,0.1,7,20751.0,27225.571428571428,18399.9,28784.0,-0.39799888827126184,0,0,0,17.90000000000003
6998,2022-07-11,토마토,방울토마토(일반),16874.0,27.0,9.0,7,18697.0,27339.714285714286,18305.933333333334,17328.0,-0.02620036934441372,0,0,0,26.90000000000003
6999,2022-07-12,토마토,방울토마토(일반),19088.0,26.8,0.0,7,18155.0,27388.14285714286,18350.166666666668,16874.0,0.13120777527557181,0,0,0,26.90000000000003
7000,2022-07-13,토마토,방울토마토(일반),24800.0,25.0,114.5,7,17534.0,25975.14285714286,18689.5,19088.0,0.29924559932942163,0,0,0,141.40000000000003
7001,2022-07-14,토마토,방울토마토(일반),36793.0,25.7,0.9,7,18184.0,25600.714285714286,19403.8,24800.0,0.4835887096774194,0,0,0,126.20000000000005
7002,2022-07-15,토마토,방울토마토(일반),37500.0,26.0,0.0,7,20471.0,25881.0,20146.066666666666,36793.0,0.019215611665262422,0,0,0,126.20000000000005
7003,2022-07-16,토마토,방울토마토(일반),40276.0,24.8,34.0,7,20492.0,27522.714285714286,21049.766666666666,37500.0,0.07402666666666669,0,0,0,158.50000000000003
7004,2022-07-18,토마토,방울토마토(일반),36603.0,26.8,0.0,7,25696.0,30276.285714285714,21814.866666666665,40276.0,-0.0911957493296256,0,0,0,158.40000000000003
7005,2022-07-19,토마토,방울토마토(일반),36965.0,27.4,0.0,7,27935.0,33146.42857142857,22658.533333333333,36603.0,0.009889899734994323,0,0,0,149.40000000000003
7006,2022-07-20,토마토,방울토마토(일반),38891.0,27.1,1.1,7,24508.0,35975.42857142857,23514.933333333334,36965.0,0.052103340998241654,0,0,0,150.50000000000003
7007,2022-07-21,토마토,방울토마토(일반),39887.0,23.2,10.4,7,23786.0,38130.71428571428,24359.266666666666,38891.0,0.025610038312205985,0,0,0,46.40000000000003
7008,2022-07-22,토마토,방울토마토(일반),39603.0,25.1,5.2,7,26220.0,38532.142857142855,25164.633333333335,39887.0,-0.007120114322962334,0,0,0,50.70000000000003
7009,2022-07-23,토마토,방울토마토(일반),39479.0,24.8,9.9,7,19304.0,38814.857142857145,25992.7,39603.0,-0.003131075928591298,0,0,0,60.60000000000003
