id,날짜,작물분류,품목명,평균가,평균기온,강수량,월,전년도가격,7일평균가,30일평균가,전일가격,가격변화율,7일내_폭염발생,환절기여부,봄_환절기여부,7일누적강수량
10183,2022-03-19,토마토,토마토,39963.0,3.4,14.6,3,43000.0,37293.57142857143,39025.03333333333,39963.0,0.0,0,0,1,27.099999999999998
10184,2022-03-21,토마토,토마토,40077.0,5.0,0.0,3,51000.0,37168.142857142855,38910.4,39963.0,0.002852638690789,0,0,1,24.499999999999996
10185,2022-03-22,토마토,토마토,29000.0,7.1,0.0,3,55000.0,35311.0,38426.53333333333,40077.0,-0.27639294358360156,0,0,1,15.799999999999999
10186,2022-03-23,토마토,토마토,41900.0,6.2,0.0,3,55000.0,37296.71428571428,38289.86666666667,29000.0,0.44482758620689644,0,0,1,15.799999999999999
10187,2022-03-24,토마토,토마토,41900.0,8.2,0.0,3,51500.0,37314.71428571428,38953.2,41900.0,0.0,0,0,1,15.799999999999999
10188,2022-03-25,토마토,토마토,46333.0,12.0,10.9,3,42625.0,39876.57142857143,39035.73333333333,41900.0,0.10579952267303105,0,0,1,25.5
10189,2022-03-26,토마토,토마토,46333.0,11.8,19.8,3,46000.0,40786.57142857143,39760.166666666664,46333.0,0.0,0,0,1,45.3
10190,2022-03-28,토마토,토마토,43556.0,8.2,0.0,3,37800.0,41299.857142857145,39778.7,46333.0,-0.059935682990525097,0,0,1,30.7
10191,2022-03-29,토마토,토마토,43556.0,9.7,0.0,3,36000.0,41796.857142857145,39797.23333333333,43556.0,0.0,0,0,1,30.700000000000003
10192,2022-03-30,토마토,토마토,44556.0,10.8,0.4,3,29000.0,44019.142857142855,39859.76666666667,43556.0,0.022958949398475426,0,0,1,31.1
10193,2022-03-31,토마토,토마토,44556.0,10.9,0.0,3,32000.0,44398.57142857143,40744.96666666667,44556.0,0.0,0,0,1,31.1
10194,2022-04-01,토마토,토마토,44879.0,9.2,0.0,4,26400.0,44824.142857142855,40859.1,44556.0,0.007249304246341737,0,0,1,31.1
10195,2022-04-02,토마토,토마토,38000.0,8.2,0.0,4,34257.0,43633.71428571428,40743.933333333334,44879.0,-0.15327881637291385,0,0,1,20.2
10196,2022-04-04,토마토,토마토,44786.0,10.3,0.0,4,26857.0,43412.71428571428,40804.26666666667,38000.0,0.17857894736842095,0,0,1,0.4
10197,2022-04-05,토마토,토마토,44786.0,10.3,0.0,4,36000.0,43588.42857142857,40864.6,44786.0,0.0,0,0,1,0.4
10198,2022-04-06,토마토,토마토,39783.0,11.7,0.0,4,36000.0,43049.42857142857,40874.03333333333,44786.0,-0.11170901621042295,0,0,1,0.4
10199,2022-04-07,토마토,토마토,35714.0,10.9,0.0,4,41727.0,41786.28571428572,40747.833333333336,39783.0,-0.10227986828544855,0,0,1,0.0
10200,2022-04-08,토마토,토마토,36973.0,12.9,0.0,4,28000.0,40703.0,40544.63333333333,35714.0,0.03525228201825614,0,0,1,0.0
10201,2022-04-09,토마토,토마토,34000.0,17.8,0.5,4,35160.0,39148.857142857145,40242.333333333336,36973.0,-0.08041002894003735,0,0,1,0.5
10202,2022-04-11,토마토,토마토,33758.0,19.6,0.0,4,30000.0,38542.857142857145,39988.3,34000.0,-0.007117647058823562,0,0,1,0.5
10203,2022-04-12,토마토,토마토,33758.0,19.3,0.5,4,32000.0,36967.42857142857,39734.26666666667,33758.0,0.0,0,0,1,1.0
10204,2022-04-13,토마토,토마토,31444.0,13.1,1.3,4,26571.0,35061.42857142857,39434.566666666666,33758.0,-0.06854671485277564,0,0,1,2.3
10205,2022-04-14,토마토,토마토,26000.0,13.2,0.0,4,33714.0,33092.42857142857,38921.933333333334,31444.0,-0.1731331891616843,0,0,1,2.3
10206,2022-04-15,토마토,토마토,29040.0,13.3,0.0,4,26000.0,32139.0,38524.76666666667,26000.0,0.11692307692307691,0,0,1,2.3
10207,2022-04-16,토마토,토마토,32000.0,13.2,0.0,4,33000.0,31428.571428571428,38226.26666666667,29040.0,0.10192837465564741,0,0,1,2.3
10208,2022-04-18,토마토,토마토,27709.0,15.2,0.0,4,20000.0,30529.85714285714,37749.9,32000.0,-0.13409375,0,0,1,1.8
10209,2022-04-19,토마토,토마토,21000.0,15.2,0.0,4,28000.0,28707.285714285714,37516.566666666666,27709.0,-0.24212349778050457,0,0,1,1.8
10210,2022-04-20,토마토,토마토,25708.0,15.7,0.0,4,28000.0,27557.285714285714,36981.03333333333,21000.0,0.22419047619047627,0,0,1,1.3
10211,2022-04-21,토마토,토마토,22667.0,16.3,0.0,4,29500.0,26303.428571428572,36789.933333333334,25708.0,-0.11829002645091025,0,0,1,0.0
