날짜,평균기온,최저기온,최고기온
20210101,-4.6,-9.7,-1.2
20210102,-3.5,-7.1,1.4
20210103,-4.1,-8.5,0.0
20210104,-2.8,-8.4,2.5
20210105,-2.8,-7.6,0.3
20210106,-5.3,-10.6,-1.4
20210107,-11.2,-15.6,-3.4
20210108,-13.5,-17.5,-8.3
20210109,-11.4,-17.0,-6.0
20210110,-8.0,-14.7,-2.0
20210111,-6.0,-9.8,-2.4
20210112,-1.4,-7.0,4.2
20210113,3.7,-3.8,10.8
20210114,3.3,-2.6,11.7
20210115,6.1,-0.8,13.7
20210116,-1.1,-4.8,3.4
20210117,-3.3,-8.4,2.0
20210118,-1.5,-4.8,4.6
20210119,-4.8,-10.2,0.8
20210120,-0.6,-8.7,9.3
20210121,4.9,-1.2,9.3
20210122,7.4,5.6,9.9
20210123,8.0,4.3,11.7
20210124,8.2,2.9,14.5
20210125,8.3,3.1,14.4
20210126,6.2,4.3,8.0
20210127,2.9,-0.6,7.9
20210128,-1.6,-6.6,5.6
20210129,-6.0,-9.6,-0.5
20210130,0.2,-7.6,9.2
20210131,3.8,-4.5,12.5
20210201,7.3,2.6,11.0
20210202,-2.4,-4.4,2.6
20210203,-1.4,-8.2,4.1
20210204,-0.5,-3.7,4.1
20210205,1.2,-5.6,7.9
20210206,6.0,-1.1,9.3
20210207,5.8,-0.4,11.4
20210208,-1.7,-4.1,2.5
20210209,0.0,-6.3,7.4
20210210,2.6,-4.2,10.0
20210211,5.3,-0.2,12.5
20210212,6.9,0.3,16.3
20210213,7.6,-0.5,17.4
20210214,9.1,4.2,15.2
20210215,3.0,-2.0,9.0
20210216,-2.7,-5.7,2.7
20210217,-6.1,-7.5,-3.6
20210218,-4.3,-8.9,0.9
20210219,2.6,-7.0,9.8
20210220,11.2,6.3,17.2
20210221,14.3,5.6,22.6
20210222,11.7,1.6,19.9
20210223,1.9,-2.4,8.6
20210224,4.5,-1.4,12.1
20210225,4.7,-0.1,8.9
20210226,8.9,1.9,15.4
20210227,8.7,5.1,12.9
20210228,7.4,1.5,12.4
20210301,8.2,2.0,12.7
20210302,3.0,0.7,6.7
20210303,4.3,-1.8,10.2
20210304,5.7,1.5,10.5
20210305,8.5,2.4,16.9
20210306,7.5,4.0,14.3
