날짜,평균기온,최고기온,최저기온,강수량,평균풍속,일조량,일사량,온도교차,최대풍속
20210101,-4.2,1.6,-9.8,0.0,2.0,0.0,9.54,11.4,
20210102,-5.0,-1.4,-8.4,0.0,2.6,0.0,11.34,7.0,
20210103,-5.6,-2.0,-9.1,0.0,2.0,0.0,8.8,7.1,
20210104,-3.5,0.3,-8.4,0.0,1.7,0.0,7.44,8.700000000000001,
20210105,-5.5,-2.1,-9.9,0.0,2.9,0.0,10.46,7.800000000000001,
20210106,-7.4,-1.9,-12.0,2.3,2.4,0.0,11.78,10.1,
20210107,-14.5,-8.4,-16.5,0.0,4.1,0.0,0.0,8.1,
20210108,-14.9,-10.7,-18.6,0.0,3.3,0.0,12.38,7.900000000000002,
20210109,-12.2,-7.5,-16.6,0.0,2.6,0.0,11.59,9.1,
20210110,-7.7,-2.7,-12.8,0.0,1.3,0.0,9.84,10.1,
20210111,-6.7,-4.0,-9.6,0.0,1.9,0.0,4.47,5.6,
20210112,-3.9,-0.5,-9.3,2.6,1.8,0.0,6.13,8.8,
20210113,2.0,8.3,-3.0,0.0,2.4,0.0,8.27,11.3,
20210114,1.7,7.0,-3.6,0.0,2.3,0.0,10.21,10.6,
20210115,4.5,9.9,-0.7,0.2,3.0,0.0,2.11,10.6,
20210116,-4.9,-0.7,-8.7,0.0,3.3,0.0,11.86,7.999999999999999,
20210117,-5.5,-1.3,-10.8,0.0,2.3,0.0,10.83,9.5,
20210118,-3.8,0.2,-9.1,0.3,3.2,0.0,4.54,9.3,
20210119,-6.3,-0.2,-11.6,0.0,1.8,0.0,12.48,11.4,
20210120,-0.1,7.1,-6.6,0.0,2.2,0.0,11.92,13.7,
20210121,4.5,7.0,2.5,9.2,2.3,0.0,2.77,4.5,
20210122,5.5,6.6,4.8,0.1,1.7,0.0,2.34,1.7999999999999998,
20210123,7.6,12.2,4.8,0.0,4.2,0.0,9.72,7.399999999999999,
20210124,7.3,13.9,2.4,0.0,2.1,0.0,12.4,11.5,
20210125,7.9,13.9,3.0,0.0,1.9,0.0,10.74,10.9,
20210126,5.3,7.4,1.7,1.7,1.9,0.0,1.95,5.7,
20210127,1.7,6.5,-1.8,0.0,2.2,0.0,12.4,8.3,
20210128,-2.6,1.4,-9.7,2.0,4.0,0.0,6.14,11.1,
20210129,-8.8,-4.9,-11.6,0.0,3.5,0.0,14.42,6.699999999999999,
20210130,-1.6,5.2,-8.1,0.5,2.5,0.0,10.46,13.3,
20210131,3.2,8.7,-3.8,0.0,2.0,0.0,10.92,12.5,
