날짜,평균기온,강수량,최고기온,최저기온
20210101,-4.2,0.0,1.6,-9.8
20210102,-5.0,0.0,-1.4,-8.4
20210103,-5.6,0.0,-2.0,-9.1
20210104,-3.5,0.0,0.3,-8.4
20210105,-5.5,0.0,-2.1,-9.9
20210106,-7.4,2.3,-1.9,-12.0
20210107,-14.5,0.0,-8.4,-16.5
20210108,-14.9,0.0,-10.7,-18.6
20210109,-12.2,0.0,-7.5,-16.6
20210110,-7.7,0.0,-2.7,-12.8
20210111,-6.7,0.0,-4.0,-9.6
20210112,-3.9,2.6,-0.5,-9.3
20210113,2.0,0.0,8.3,-3.0
20210114,1.7,0.0,7.0,-3.6
20210115,4.5,0.2,9.9,-0.7
20210116,-4.9,0.0,-0.7,-8.7
20210117,-5.5,0.0,-1.3,-10.8
20210118,-3.8,0.3,0.2,-9.1
20210119,-6.3,0.0,-0.2,-11.6
20210120,-0.1,0.0,7.1,-6.6
20210121,4.5,9.2,7.0,2.5
20210122,5.5,0.1,6.6,4.8
20210123,7.6,0.0,12.2,4.8
20210124,7.3,0.0,13.9,2.4
20210125,7.9,0.0,13.9,3.0
20210126,5.3,1.7,7.4,1.7
20210127,1.7,0.0,6.5,-1.8
20210128,-2.6,2.0,1.4,-9.7
20210129,-8.8,0.0,-4.9,-11.6
20210130,-1.6,0.5,5.2,-8.1
20210131,3.2,0.0,8.7,-3.8
20210201,5.0,0.7,9.5,-2.3
20210202,-5.6,0.0,-2.4,-8.2
20210203,-3.2,3.4,1.4,-9.4
20210204,-3.6,0.1,0.7,-7.4
20210205,1.4,0.0,6.7,-4.4
20210206,6.8,0.0,9.5,4.3
20210207,3.6,0.0,7.7,-2.6
20210208,-3.1,0.0,0.2,-5.4
20210209,-0.9,0.0,4.7,-6.1
20210210,3.4,0.0,7.2,-1.5
20210211,5.5,0.0,10.9,1.3
20210212,6.5,0.0,14.0,0.6
20210213,7.6,0.0,15.9,1.0
20210214,9.5,0.0,13.8,6.4
20210215,1.2,1.4,8.2,-5.2
20210216,-5.1,1.5,-1.3,-7.0
20210217,-8.3,0.0,-5.2,-10.4
20210218,-5.8,0.0,-0.4,-10.6
20210219,1.6,0.0,8.9,-7.1
20210220,8.8,0.0,14.9,5.5
20210221,10.8,0.0,17.4,4.7
20210222,7.8,0.0,12.6,0.4
20210223,0.0,0.0,4.3,-3.1
20210224,2.9,0.0,10.1,-3.0
20210225,4.2,0.0,8.2,0.7
20210226,8.2,0.0,15.8,0.5
20210227,9.5,0.0,16.2,4.3
20210228,7.8,0.0,10.8,3.2
20210301,4.7,67.5,9.0,0.5
20210302,2.3,0.1,6.9,0.2
20210303,4.4,0.0,9.9,-1.2
20210304,7.2,0.0,13.0,2.5
20210305,9.0,0.0,16.2,3.0
20210306,6.6,0.0,11.6,3.2
20210307,6.2,0.0,12.2,2.1
