날짜,품목명,평균가
20250529,상추,20500
20250530,상추,20500
20250602,상추,20500
20250604,상추,19500
20250605,상추,17200
20250609,상추,14500
20250610,상추,12000
20250611,상추,11500
20250612,상추,11000
20250613,상추,11000
20250616,상추,13700
20250617,상추,18500
20250618,상추,17500
20250619,상추,14500
20250620,상추,20700
20250623,상추,20000
20250624,상추,23200
20250625,상추,27200
20250626,상추,35700
20250627,상추,31200
20250630,상추,32200
20250701,상추,33000
20250702,상추,29500
20250703,상추,28200
20250704,상추,30000
20250707,상추,28700
20250708,상추,26200
20250709,상추,26200
20250710,상추,27500
20250711,상추,28700
20250714,상추,34500
20250715,상추,30500
20250716,상추,30500
20250717,상추,29500
20250718,상추,30000
20250721,상추,31200
20250722,상추,31200
20250723,상추,39500
20250724,상추,42500
20250725,상추,42500
20250728,상추,45700
20250729,상추,56200
20250730,상추,53700
20250731,상추,53700
20250801,상추,48700
20250804,상추,41200
20250805,상추,29500
20250806,상추,27500
20250807,상추,27500
20250808,상추,27500
20250811,상추,33700
20250812,상추,33700
20250813,상추,32500
20250814,상추,28700
20250818,상추,42500
20250819,상추,38700
20250820,상추,34500
20250821,상추,43700
20250822,상추,43700
20250825,상추,43700
20250826,상추,38700
20250827,상추,44700
20250828,상추,49000
20250829,상추,49000
20250901,상추,47500
20250902,상추,47000
20250903,상추,56000
20250904,상추,53600
20250905,상추,55000
20250908,상추,49600
20250909,상추,56000
20250910,상추,52500
20250911,상추,49000
20250912,상추,53700
20250915,상추,58700
20250916,상추,57500
20250917,상추,63200
20250918,상추,63200
20250919,상추,59500
20250922,상추,63700
20250923,상추,63700
20250924,상추,63700
20250925,상추,66200
20250926,상추,58700
20250929,상추,62000
20250930,상추,57000
20251001,상추,57000
20251002,상추,61500
20251010,상추,52000
20251013,상추,48000
20251014,상추,42500
20251015,상추,44700
20251016,상추,49500
20251017,상추,49000
20251020,상추,54200
20251021,상추,52000
20251022,상추,51500
20251023,상추,50500
20251024,상추,52700
20251027,상추,52700
20251028,상추,55200
20251029,상추,53500
20251030,상추,50200
20251031,상추,50200
20251103,상추,50200
20251104,상추,47500
20251105,상추,40700
20251106,상추,35000
20251107,상추,33200
20251110,상추,29000
20251111,상추,28500
20251112,상추,27700
20251113,상추,28500
20251114,상추,28500
20251117,상추,28200
20251118,상추,27500
20251119,상추,27500
20251120,상추,26200
20251121,상추,25000
20251124,상추,25200
20251125,상추,26500
20251126,상추,27000
20251127,상추,26700
20251128,상추,26700
20251201,상추,27000
20251202,상추,28500
20251203,상추,28000
20251204,상추,16300
20251208,상추,14000
20251209,상추,15300
20251210,상추,16000
20251211,상추,17000
20251212,상추,15300
20251215,상추,18300
20251216,상추,17000
20251217,상추,16000
20251218,상추,16000
20251219,상추,15600
20251222,상추,18000
20251223,상추,18300
20251224,상추,19000
20251226,상추,21000
20251229,상추,30300
20251230,상추,44300
20251231,상추,44300
20260102,상추,44300
20260105,상추,47600
20260106,상추,43600
20260107,상추,40000
20260108,상추,36000
20260109,상추,36300
20260112,상추,34000
20260113,상추,35300
20260114,상추,32600
20260115,상추,30600
20260116,상추,31600
20260119,상추,31600
20260120,상추,31600
20260121,상추,30000
20260122,상추,30000
20260123,상추,26000
20260126,상추,28300
20260127,상추,28000
20260128,상추,28000
20260129,상추,25600
20260130,상추,24000
20260202,상추,25000
20260203,상추,22600
20260204,상추,28000
20260205,상추,23600
20260206,상추,23600
20260209,상추,22000
20260210,상추,21000
20260211,상추,22000
20260212,상추,22000
20260213,상추,22000
20260219,상추,22000
20260220,상추,24000
20260223,상추,18300
20260224,상추,15000
20260225,상추,13300
20260226,상추,12300
20260227,상추,12300
20260303,상추,13300
20260304,상추,13000
20260305,상추,13300
20260306,상추,13300
20260309,상추,14300
20260310,상추,13000
20260311,상추,11000
20260312,상추,12000
20260313,상추,12000
20260316,상추,13000
20260317,상추,13300
20260318,상추,15000
20260319,상추,15000
20260320,상추,13600
20260323,상추,13600
20260324,상추,13300
20260325,상추,13600
20260326,상추,15000
20260327,상추,13600
20260330,상추,13600
20260331,상추,13600
20260401,상추,13600
20260402,상추,13600
20260403,상추,13600
20260406,상추,13600
20260407,상추,13300
20260408,상추,13600
20260409,상추,13300
20260410,상추,13300
20260413,상추,13600
20260414,상추,13600
20260415,상추,13600
20260416,상추,13600
20260417,상추,13600
20260420,상추,16300
20260421,상추,16300
20260422,상추,15000
20260423,상추,14300
20260424,상추,14300
20260427,상추,15000
20260428,상추,17000
20260429,상추,19000
20260430,상추,19300
20260504,상추,19300
20260506,상추,17600
20260507,상추,16600
20260508,상추,16600
20260511,상추,16600
20260512,상추,16600
20260513,상추,16600
20260514,상추,16600
20260515,상추,16600
20260518,상추,16600
20260519,상추,15600
20260520,상추,15600
20260521,상추,15600
20260522,상추,15600
20260526,상추,22000
20260527,상추,23600
20260528,상추,24000
20250504,상추,17915
20250506,상추,18355
20250507,상추,18773
20250508,상추,18567
20250511,상추,17730
20250512,상추,17410
20250513,상추,16897
20250514,상추,16685
20250515,상추,16653
20250518,상추,15143
20250519,상추,14932
20250520,상추,14900
20250521,상추,14820
20250522,상추,15040
20250526,상추,15423
20250527,상추,15807
20250528,상추,15767
20250529,시금치,11200
20250530,시금치,11500
20250602,시금치,11500
20250604,시금치,11500
20250605,시금치,11500
20250609,시금치,11700
20250610,시금치,11700
20250611,시금치,11700
20250612,시금치,11700
20250613,시금치,11700
20250616,시금치,12500
20250617,시금치,11700
20250618,시금치,11700
20250619,시금치,15000
20250620,시금치,15500
20250623,시금치,13700
20250624,시금치,13000
20250625,시금치,11700
20250626,시금치,17000
20250627,시금치,14000
20250630,시금치,13700
20250701,시금치,12000
20250702,시금치,10200
20250703,시금치,10700
20250704,시금치,11500
20250707,시금치,14200
20250708,시금치,15500
20250709,시금치,16500
20250710,시금치,20700
20250711,시금치,18700
20250714,시금치,18700
20250715,시금치,21000
20250716,시금치,19500
20250717,시금치,18200
20250718,시금치,20000
20250721,시금치,18500
20250722,시금치,15700
20250723,시금치,14500
20250724,시금치,14200
20250725,시금치,15000
20250728,시금치,16000
20250729,시금치,16700
20250730,시금치,15700
20260521,시금치,13000
20260522,시금치,13000
20260526,시금치,13500
20260527,시금치,13500
20260528,시금치,13500
20250521,시금치,19380
20250522,시금치,20100
20250526,시금치,15565
20250527,시금치,15230
20250528,시금치,15210
