날짜,품목명,평균가
20210104,대추방울토마토,20981
20210105,대추방울토마토,20284
20210106,대추방울토마토,17744
20210107,대추방울토마토,16829
20210108,대추방울토마토,18660
20210109,대추방울토마토,16936
20210111,대추방울토마토,16188
20210112,대추방울토마토,18498
20210113,대추방울토마토,16819
20210114,대추방울토마토,17520
20210115,대추방울토마토,19124
20210116,대추방울토마토,19346
20210118,대추방울토마토,22142
20210119,대추방울토마토,22033
20210120,대추방울토마토,20425
20210121,대추방울토마토,19575
20210122,대추방울토마토,20543
20210123,대추방울토마토,19201
20210125,대추방울토마토,16959
20210126,대추방울토마토,18733
20210127,대추방울토마토,15989
20210128,대추방울토마토,17113
20210129,대추방울토마토,16893
20210130,대추방울토마토,16046
20210201,대추방울토마토,15306
20210202,대추방울토마토,17943
20210203,대추방울토마토,15207
20210204,대추방울토마토,14615
20210205,대추방울토마토,15828
20210206,대추방울토마토,15320
20210208,대추방울토마토,15627
20210209,대추방울토마토,17559
20210210,대추방울토마토,15483
20210211,대추방울토마토,17000
20210215,대추방울토마토,16334
20210216,대추방울토마토,17679
20210217,대추방울토마토,13599
20210218,대추방울토마토,13355
20210219,대추방울토마토,17414
20210220,대추방울토마토,15192
20210222,대추방울토마토,15463
20210223,대추방울토마토,18358
20210224,대추방울토마토,15909
20210225,대추방울토마토,14914
20210226,대추방울토마토,16795
20210227,대추방울토마토,21108
20210301,대추방울토마토,18953
20210302,대추방울토마토,18751
20210303,대추방울토마토,18338
20210304,대추방울토마토,18818
20210305,대추방울토마토,22974
20210306,대추방울토마토,24074
20210308,대추방울토마토,21954
20210309,대추방울토마토,22868
20210310,대추방울토마토,21788
20210311,대추방울토마토,23056
20210312,대추방울토마토,25986
20210313,대추방울토마토,24227
20210315,대추방울토마토,22965
20210316,대추방울토마토,23022
20210317,대추방울토마토,21921
20210318,대추방울토마토,20549
20210319,대추방울토마토,21665
20210320,대추방울토마토,18515
20210322,대추방울토마토,17673
20210323,대추방울토마토,18033
20210324,대추방울토마토,17905
20210325,대추방울토마토,15894
20210326,대추방울토마토,19501
20210327,대추방울토마토,17514
20210329,대추방울토마토,18380
20210330,대추방울토마토,19022
20210331,대추방울토마토,19915
20210401,대추방울토마토,19794
20210402,대추방울토마토,24641
20210403,대추방울토마토,24953
20210405,대추방울토마토,23755
20210406,대추방울토마토,21601
20210407,대추방울토마토,23532
20210408,대추방울토마토,19436
20210409,대추방울토마토,24866
20210410,대추방울토마토,19213
20210412,대추방울토마토,22090
20210413,대추방울토마토,21153
20210414,대추방울토마토,22689
20210415,대추방울토마토,20862
20210416,대추방울토마토,21707
20210417,대추방울토마토,22690
20210419,대추방울토마토,23467
20210420,대추방울토마토,23990
20210421,대추방울토마토,23183
20210422,대추방울토마토,16191
20210423,대추방울토마토,19305
20210424,대추방울토마토,15711
20210426,대추방울토마토,16999
20210427,대추방울토마토,15344
20210428,대추방울토마토,21216
20210429,대추방울토마토,15736
20210430,대추방울토마토,18461
20210501,대추방울토마토,15935
20210503,대추방울토마토,16968
20210504,대추방울토마토,18620
20210505,대추방울토마토,19383
20210506,대추방울토마토,16055
20210507,대추방울토마토,17472
20210508,대추방울토마토,16758
20210510,대추방울토마토,20502
20210511,대추방울토마토,20862
20210512,대추방울토마토,19178
20210513,대추방울토마토,18069
20210514,대추방울토마토,20768
20210515,대추방울토마토,18140
20210517,대추방울토마토,16814
20210518,대추방울토마토,17525
20210519,대추방울토마토,16497
20210520,대추방울토마토,16035
20210521,대추방울토마토,14632
20210522,대추방울토마토,14552
20210524,대추방울토마토,14359
20210525,대추방울토마토,12596
20210526,대추방울토마토,13474
20210527,대추방울토마토,13837
20210528,대추방울토마토,14061
20210529,대추방울토마토,12668
20210531,대추방울토마토,12787
20210601,대추방울토마토,14738
20210602,대추방울토마토,13146
20210603,대추방울토마토,13141
20210604,대추방울토마토,12955
20210605,대추방울토마토,11543
20210607,대추방울토마토,12940
20210608,대추방울토마토,13342
